,Fecha,Operador,Ruta Detallada,Tipo aeronave_accidente,Pasajeros,Tripulacion,Pasajeros_Fallecidos,Tripulantes_Fallecidos,Muertos_en_tierra,resumen
10,1916-10-01,Military - German Navy,Sin dato,Zeppelin L-31 (airship),0,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron.
11,1916-11-21,Military - German Army,Sin dato,Super Zeppelin (airship),0,0,0,0,0,Crashed in a storm.
12,1916-11-28,Military - German Navy,Sin dato,Zeppelin L-34 (airship),0,0,0,0,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
13,1917-03-04,Military - German Army,Sin dato,Airship,0,0,0,0,0,Caught fire and crashed.
14,1917-03-30,Military - German Navy,Sin dato,Schutte-Lanz S-L-9 (airship),0,0,0,0,0,Struck by lightning and crashed into the Baltic Sea.
15,1917-05-14,Military - German Navy,Sin dato,Zeppelin L-22 (airship),0,0,0,0,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
16,1917-06-14,Military - German Navy,Sin dato,Zeppelin L-43 (airship),0,0,0,0,0,Shot down by British aircraft.
17,1917-06-17,Sin dato,Sin dato,Zepplin L-48 (air ship),0,0,0,0,0,Shot down by aircraft.
18,1917-08-21,Military - German Navy,Sin dato,Zeppelin L-23 (airship),0,0,0,0,0,Shot down by British aircraft.
19,1917-10-20,Military - German Navy,Sin dato,Zeppelin L-44 (airship),0,0,0,0,0,Shot down by French anti-aircraft fire.
20,1918-04-07,Military - German Navy,Sin dato,Zeppelin L-59 (airship),0,0,0,0,0,Exploded and crashed into the sea off the southern coast of Italy.
21,1918-08-05,Military - German Navy,Sin dato,Zeppelin L-70 (airship),0,0,0,0,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
22,1918-08-11,Military - German Navy,Sin dato,Zeppelin L-53 (airship),0,0,0,0,0,Shot down by british aircraft.
23,1918-12-16,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
24,1919-05-25,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
25,1919-07-19,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,The mail plane crashed under unknown circumstances.
26,1919-07-21,Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,0,0,2,1,10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
27,1919-08-02,Caproni Company,Venice  Taliedo,Caproni Ca.48,12,2,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
28,1919-10-02,Aircraft Transport and Travel,Sin dato,De Havilland DH-4,0,1,0,1,0,Sin dato
29,1919-10-14,US Aerial Mail Service,Sin dato,Curtiss R-4LM,0,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
30,1919-10-20,Aircraft Transport and Travel,Sin dato,De Havilland DH-4,0,1,0,0,0,Crashed into the sea while attempting to land in fog.
31,1919-10-30,US Aerial Mail Service,Sin dato,De Havilland DH.4,0,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
32,1919-12-11,Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,1,1,1,1,0,Crashed in a field while attemptting to land.
33,1920-03-10,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
34,1920-03-30,US Aerial Mail Service,Washington - Newark,De Havilland DH-4,0,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
35,1920-04-10,US Aerial Mail Service,Sin dato,Curtiss R-4LM,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
36,1920-04-11,US Aerial Mail Service,Sin dato,Curtiss JN-4H,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.
37,1920-05-12,US Aerial Mail Service,Sin dato,De Havilland DH-4,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
38,1920-06-06,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off.
39,1920-07-20,Compañia Colombiana de Navegación Aérea,Sin dato,Farman F-40,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
40,1920-08-16,By Air,Sin dato,Armstrong-Whitworth F-K-8,0,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances.
41,1920-08-16,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
42,1920-09-01,US Aerial Mail Service,Sin dato,Junkers JL-6,0,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
43,1920-09-15,US Aerial Mail Service,Sin dato,Junkers F-13,0,0,0,0,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
44,1920-09-27,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
45,1920-10-02,Latecoere Airlines,Sin dato,Salmson 2-A-2,1,1,1,1,0,Crashed into the Mediterranean while on a mail flight.
46,1920-10-05,Latecoere Airlines,Sin dato,Breguet 14,1,1,1,1,0,While on a mail flight the plane crashed while attempting to land.
47,1920-10-15,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.
48,1920-11-07,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.
49,1920-12-14,Handley Page Transport,London - Paris,Handley Page HP-16,6,2,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
50,1920-12-24,Aeropostale,Sin dato,Breguet 14,0,1,0,1,0,The aircraft stalled and crashed when an engine failed.
51,1921-02-03,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
52,1921-02-09,US Aerial Mail Service,Sin dato,Junkers F-13,0,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
53,1921-02-15,Aeropostale,Sin dato,Breguet 14,0,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
54,1921-02-22,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,"Shortly after taking off, the aircraft stalled and crashed ."
55,1921-04-06,Military - Royal Australian Air Force,Sin dato,Avro 504,0,0,0,0,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
56,1921-04-21,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,After taking off the aircraft stalled and crashed.
57,1921-04-29,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
58,1921-05-17,US Aerial Mail Service,Sin dato,"De Havilland DH-4De Havilland DH-4",0,1,0,1,0,Crashed while attempting to land.
59,1921-08-14,Aeropostale,Sin dato,Breguet 14,0,0,0,0,0,Sin dato
60,1921-08-24,Military - Royal Airship Works,Sin dato,Royal Airship Works ZR-2 (airship),0,49,0,43,1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
61,1921-09-06,Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,4,1,4,1,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
62,1921-12-05,West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,0,2,0,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
63,1922-01-14,Handley Page Transport,Sin dato,Handley Page O/10,4,1,4,1,5,Crashed at Le Bourget field.
64,1922-02-21,Military - U.S. Army Air Service,Sin dato,Dirigible Roma (airship),0,0,0,0,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
65,1922-03-22,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),5,1,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
66,1922-04-07,Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,5,2,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
67,1922-04-08,Sin dato,Test,Sin dato,0,17,0,17,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
68,1922-06-03,Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,2,1,2,1,0,Went down into the English Channel while en route.
69,1922-07-04,Sin dato,Hamburg - Berlin,LVG C VI,2,1,1,1,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
70,1922-07-16,Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,4,1,4,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
71,1922-07-26,Grands Express Aeriens,Sin dato,Breguet 14,2,1,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
72,1922-09-07,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,The plane stalled shortly after takeoff and crashed.
73,1922-10-02,de Havilland Air Service,Venice - London,de Havilland DH-9,3,1,3,1,0,Shortly after taking off the plane crashed into the sea and sank.
74,1922-10-25,Grands Express Aeriens,Sin dato,Breguet 14,1,1,1,1,0,Crashed under unknown circumstances.
75,1922-12-03,Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,0,1,0,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
76,1923-01-10,Amee de l'Air,Sin dato,Lioré-et-Olivier H-13,2,2,1,2,0,The plane crashed mid-air due to a structural failure of the tail.
77,1923-01-17,Grands Express Aeriens,Sin dato,Breguet 14,0,1,0,1,0,Crashed into a mountain during a snowstorm.
78,1923-01-18,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Crashed during a mail flight.
79,1923-02-26,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
80,1923-05-14,Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,4,2,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
81,1923-08-27,Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,9,2,1,0,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
82,1923-08-27,Campagnie France Roumaine,Sin dato,Blériot Spad 46,1,1,1,1,0,Crashed while on approach to Bucharesst.
83,1923-09-07,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Crashed during an emergency landing attempt.
84,1923-09-14,Daimler Airways,Croydon - Manchester,de Havilland DH-34,3,2,3,2,0,Crashed while attempting a forced landing after encountering heavy rain.
85,1923-11-18,CCCP,Sin dato,Junkers F-13,2,3,1,2,0,Crashed during a training flight.
86,1923-12-06,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Crashed under unknown circumstances.
87,1923-12-23,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),0,0,0,0,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
88,1923-12-24,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Crashed into a montain in poor weather conditions.
89,1924-03-07,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,Crashed during a snowstorm.
90,1924-04-24,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,2,1,2,1,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
91,1924-06-08,SCADTA,Barranquilla - Bogota,Junkers F-13,3,2,3,2,0,Stalled after taking off and crashed into houses..
92,1924-08-01,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
93,1924-11-06,Grands Express Aeriens,Sin dato,Breguet 14,0,1,0,1,0,"While en route the pilot encountered thunderstorms, lost control and crashed."
94,1924-12-21,US Aerial Mail Service,Sin dato,De Havilland DH-4,0,1,0,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
95,1924-12-24,Imperial Airways,London - Paris,de Havilland DH-34B,7,1,7,1,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
96,1925-03-22,Zakavia,Tiflis - Suchumi,Junkers F-13,3,2,3,2,0,Shortly after take off the plane went out of control and crashed in flames.
97,1925-04-25,Grands Express Aeriens,Alicante - Barcelona - Toulouse,Breguet 14,1,2,1,2,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
98,1925-06-25,KLM Royal Dutch Airlines,Amsterdam - Paris,Fokker (KLM)  F.III,3,1,3,1,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
99,1925-06-26,Grands Express Aeriens,Oran - Alicante,Lioré-et-Olivier LeO H-13,0,2,0,2,0,While attempting to land the seaplane hit a lightning mast and crashed.
100,1925-07-20,Lignes Aeriennes Latecoere,Toulouse - Barcelona,Breguet 14,0,1,0,1,0,Crashed in unknown circumstance.
101,1925-07-24,CIDNA,Sin dato,Potez IX,0,1,0,1,0,Crashed while attempting to land 10 km from the airport
102,1925-09-03,Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),0,43,0,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
103,1925-09-07,CIDNA,Sin dato,Spad 33,0,0,0,0,0,Sin dato
104,1925-10-01,US Aerial Mail Service,New York - San Francisco,De Havilland DH-4,0,1,0,1,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
105,1925-11-14,Lignes Aeriennes Latecoere,Sin dato,Breguet 14,0,1,0,1,0,The pilot suffered sunstroke lost control of the plane and crashed.
106,1925-11-14,Air Union,Sin dato,Farman F-60 Goliath,0,0,0,0,0,Sin dato
107,1926-02-12,US Aerial Mail Service,Sin dato,Curtiss Carrier Pigeon,0,1,0,1,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
108,1926-03-08,Deutche Lufthansa,Sin dato,Junkers F-13,0,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.
109,1926-05-31,Air Union,Paris - Cryodon,Breguet 14,0,1,0,1,0,The mail plane crashed into the English Channel and was never found.
110,1926-07-03,Compagnie Internationale de Navigation Aérienne,Paris - Prague - Budapest,Caudron C-61,4,2,4,2,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
111,1926-07-09,KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,1,1,1,1,0,Crashed into the ground while descending in poor weather.
112,1926-07-24,Deutsche Lufthansa,Sin dato,Junkers F-13,4,1,4,1,0,Crashed under weather related.circumstances.
113,1926-08-18,Air Union,"Lebourget, France - Croydon, England",Bleriot 155,13,2,2,1,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
114,1926-09-26,Sin dato,New York - Paris,Sikorsky S-25,4,1,2,0,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
115,1926-10-02,Air Union,Paris - London,Bleriot 155,5,2,5,2,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
116,1926-10-08,Deutsche Lufthansa,Sin dato,Fokker FG III,3,1,3,1,0,Weather related.
117,1926-10-21,Imperial Airways,Croydon - Paris,Handley Page W-10,10,2,0,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
118,1926-11-11,Grands Express Aeriens,Casablanca -Dakar,Breguet 14,3,0,3,0,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
119,1926-12-16,Pacific Air Transport,Sin dato,Ryan M-1,0,1,0,1,0,The postal plane crashed into a mountain slope in foggy conditions.
120,1927-01-12,Fokker,Delivery flight,Fokker F-VII,0,2,0,2,0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
121,1927-03-20,Grands Express Aeriens,Casablanca - Oran,Breguet 14,0,1,0,1,0,Unknown.
122,1927-03-24,Qantas,Charleville - Tambo - Blackall,de Havilland DH-9C,2,1,2,1,0,"While attempting to land, the engine failed, the aircraft stalled and crashed."
123,1927-04-15,Varney Air Lines,Sin dato,"SwallowSwallow",0,1,0,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
124,1927-04-22,Deutsche Lufthansa,Charleville - Tambo - Blackall,Fokker FG III,1,1,1,1,0,Crashed following engine failure.
125,1927-04-22,US Aerial Mail Service,Sin dato,Douglas M-4,0,1,0,1,0,Crashed into a field during a snow storm.
126,1927-05-02,Air Union,Sin dato,SPCA Meteore 63,0,3,0,1,0,The three engine seaplane stalled and crashed into the sea shortly after taking off.
127,1927-07-27,Deutsche Lufthansa,Kassel - Frankfurt,Junkers F-13,3,2,3,2,0,Crashed after experiencing engine failure and attempting to make a forced landing.
128,1927-08-22,KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,9,2,0,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
129,1927-09-03,Colonial Air Transport,Sin dato,Fokker Universal,0,1,0,1,0,The postal plane crashed for unknown reasons.
130,1927-09-17,Reynolds Airways,Sightseeing,Fokker F-VII,11,1,6,1,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
131,1927-09-17,Private,Old Orchad Beach - Rome,Fokker F7,1,2,1,2,0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
132,1927-09-23,Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,4,2,4,2,0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.
133,1927-10-06,Lignes Aeriennes Latecoere,Saint Louis - Dakar,Breguet 14,0,2,0,2,0,The plane crashed while attempting to land at Dakar.
134,1927-10-30,Colonial Air Transport,Sin dato,Fairchild FC-2,3,1,3,1,0,Went into a tailspin and crashed into a corn field about 10 km from the airport.
135,1927-11-08,CIDNA,Strasbourg - Paris,Farman F-121 Jabiru,0,1,0,1,0,The mail plane crashed shortly after taking off.
136,1927-11-16,Aero O-Y,Tallinn - Helsinki,Junkers F-13,4,2,4,2,0,Crashed in the gulf of Finland and never found.
137,1927-11-29,National Air Transport,Sin dato,Douglas M-4,0,1,0,1,0,The postal plane crashed at night in poor weather.
138,1927-12-28,Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,0,1,0,1,0,A fire erupted aboard the mail plane while en route and crashed.
139,1927-12-31,Latecoere Airlines,Test flight,Latécoère 23 (flying boat),0,5,0,5,0,"Suffered structural failure at an altitude of 1,000 ft."
140,1928-01-08,Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,1,2,1,2,0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..
141,1928-01-16,Aeropostale,Buenos Aires - Montevideo,Latecoere 25,0,2,0,2,0,The wing on the mail plane detached from the aircraft and crashed into the sea.
142,1928-01-22,Aeropostale,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,0,1,0,1,0,Crashed after experiencing mechanical difficulties.
143,1928-01-22,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,0,2,0,2,0,Crashed in unknown circumstances.
144,1928-01-27,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,0,1,0,1,0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
145,1928-02-26,Boeing Air Transport,Sin dato,Boeing 40,1,1,1,0,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
146,1928-03-11,Air Union,Paris - Croydon,Farman F-60 Goliath,0,2,0,2,0,Crashed into the sea while delivering mail in poor weather.
147,1928-04-17,Boeing Air Transport,Sin dato,Boeing 40,1,1,1,0,0,Spatial disorientation after entering a snowstorm.
148,1928-04-19,Iberia Airlines,Barcelona - Madrid,Rohrbach Roland,7,2,7,2,0,Crashed into a field after getting lost in fog.
149,1928-05-07,Aeropostale,Sin dato,Latecoere 26,3,2,1,0,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.
150,1928-05-12,Ford Air Freight Inc.,Dearborn - Buffalo,Ford 4,0,2,0,2,0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
151,1928-05-26,Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers F-13,4,1,2,1,0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
152,1928-06-14,Deutsche Lufthansa,Sin dato,AEGK,4,1,4,1,0,"The ""Viper"" crashed for unknown reasons."
153,1928-06-22,National Air Transport,Chicago - Dallas,Douglas M-4,0,1,0,1,0,The mail plane flew into tornado like winds and crashed in a field.
154,1928-07-10,Aero O-Y,Tallinn - Helsinki,Junkers F-13,4,2,4,2,0,Crashed under unknown circumstances
155,1928-07-13,Imperial Airways,Testing,Vickers 74 Vulcan,5,1,4,0,0,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers."
156,1928-07-24,KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,5,1,1,0,0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."
157,1928-08-25,British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,5,2,5,2,0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.
158,1928-09-02,CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,2,3,2,3,0,"After taking off the engine failed, the plane stalled and crashed."
159,1928-09-04,Qantas,Adelaide - Longreach,de Havilland DH.50J,0,2,0,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."
